cellline,concentration,viability
KPL1,-3.3979400086720375,1.015
KPL1,-2.9208187539523753,0.884
KPL1,-2.431798275933005,0.968
KPL1,-1.958607314841775,0.895
KPL1,-1.4685210829577449,0.683
KPL1,-1.0,0.554
KPL1,-0.5228787452803376,0.174
KPL1,-3.853871964321762,1.079
KPL1,-3.3979400086720375,0.917
KPL1,-2.9208187539523753,1.024
KPL1,-2.431798275933005,0.927
KPL1,-1.958607314841775,0.633
KPL1,-1.4685210829577449,0.626
KPL1,-1.0,0.236
KPL1,-0.5228787452803376,0.155
KPL1,-3.853871964321762,1.121
KPL1,-3.3979400086720375,0.994
KPL1,-2.9208187539523753,1.047
KPL1,-2.431798275933005,0.983
KPL1,-1.958607314841775,0.58
KPL1,-1.4685210829577449,0.491
KPL1,-1.0,0.24
KPL1,-0.5228787452803376,0.142
LNCAP,-3.853871964321762,0.893
LNCAP,-3.3979400086720375,0.895
LNCAP,-2.9208187539523753,0.827
LNCAP,-2.431798275933005,0.674
LNCAP,-1.958607314841775,0.961
LNCAP,-1.4685210829577449,0.371
LNCAP,-1.0,0.402
LNCAP,-0.5228787452803376,0.014
LNCAP,-3.853871964321762,1.115
LNCAP,-3.3979400086720375,0.808
LNCAP,-2.9208187539523753,1.054
LNCAP,-2.431798275933005,0.674
LNCAP,-1.958607314841775,0.684
LNCAP,-1.4685210829577449,0.396
LNCAP,-1.0,0.318
LNCAP,-0.5228787452803376,0.021
LNCAP,-3.853871964321762,1.019
LNCAP,-3.3979400086720375,0.872
LNCAP,-2.9208187539523753,1.214
LNCAP,-2.431798275933005,0.598
LNCAP,-1.958607314841775,0.774
LNCAP,-1.4685210829577449,0.372
LNCAP,-1.0,0.501
LNCAP,-0.5228787452803376,0.026
LNCAP,-3.853871964321762,0.986
LNCAP,-3.3979400086720375,0.908
LNCAP,-2.9208187539523753,1.049
LNCAP,-2.431798275933005,0.782
LNCAP,-1.958607314841775,0.327
LNCAP,-1.4685210829577449,0.374
LNCAP,-1.0,0.147
LNCAP,-0.5228787452803376,0.028
LNCAP,-3.853871964321762,0.897
LNCAP,-3.3979400086720375,0.969
LNCAP,-2.9208187539523753,1.024
LNCAP,-2.431798275933005,0.843
LNCAP,-1.958607314841775,0.436
LNCAP,-1.4685210829577449,0.377
LNCAP,-1.0,0.35
LNCAP,-0.5228787452803376,0.044
LNCAP,-3.853871964321762,1.02
LNCAP,-3.3979400086720375,0.923
LNCAP,-2.9208187539523753,0.863
LNCAP,-2.431798275933005,0.902
LNCAP,-1.958607314841775,0.573
LNCAP,-1.4685210829577449,0.37
LNCAP,-1.0,0.034
LNCAP,-0.5228787452803376,0.03
LNCAP,-3.853871964321762,1.181
LNCAP,-3.3979400086720375,1.279
LNCAP,-2.9208187539523753,0.852
LNCAP,-2.431798275933005,1.172
LNCAP,-1.958607314841775,0.657
LNCAP,-1.4685210829577449,0.408
LNCAP,-1.0,0.225
LNCAP,-0.5228787452803376,0.264
LNCAP,-3.853871964321762,1.031
LNCAP,-3.3979400086720375,1.262
LNCAP,-2.9208187539523753,0.966
LNCAP,-2.431798275933005,1.359
LNCAP,-1.958607314841775,0.633
LNCAP,-1.4685210829577449,0.548
LNCAP,-1.0,0.054
LNCAP,-0.5228787452803376,0.107
LNCAP,-3.853871964321762,1.2
LNCAP,-3.3979400086720375,1.25
LNCAP,-2.9208187539523753,0.704
LNCAP,-2.431798275933005,0.93
LNCAP,-1.958607314841775,0.396
LNCAP,-1.4685210829577449,0.322
LNCAP,-1.0,0.023
LNCAP,-0.5228787452803376,0.122
LOVO,-3.853871964321762,0.753
LOVO,-3.3979400086720375,0.969
LOVO,-2.9208187539523753,0.738
LOVO,-2.431798275933005,0.771
LOVO,-1.958607314841775,0.755
LOVO,-1.4685210829577449,0.264
LOVO,-1.0,0.329
LOVO,-0.5228787452803376,0.049
LOVO,-3.853871964321762,0.8
LOVO,-3.3979400086720375,0.9
LOVO,-2.9208187539523753,0.983
LOVO,-2.431798275933005,0.833
LOVO,-1.958607314841775,0.619
LOVO,-1.4685210829577449,0.382
LOVO,-1.0,0.303
LOVO,-0.5228787452803376,0.054
LOVO,-3.853871964321762,0.75
LOVO,-3.3979400086720375,0.671
LOVO,-2.9208187539523753,0.799
LOVO,-2.431798275933005,0.789
LOVO,-1.958607314841775,0.714
LOVO,-1.4685210829577449,0.352
LOVO,-1.0,0.191
LOVO,-0.5228787452803376,0.033
LOVO,-3.853871964321762,1.063
LOVO,-3.3979400086720375,1.07
LOVO,-2.9208187539523753,0.84
LOVO,-2.431798275933005,0.962
LOVO,-1.958607314841775,0.654
LOVO,-1.4685210829577449,0.434
LOVO,-1.0,0.261
LOVO,-0.5228787452803376,0.021
LOVO,-3.853871964321762,1.074
LOVO,-3.3979400086720375,0.908
LOVO,-2.9208187539523753,0.901
LOVO,-2.431798275933005,0.952
LOVO,-1.958607314841775,0.525
LOVO,-1.4685210829577449,0.414
LOVO,-1.0,0.118
LOVO,-0.5228787452803376,0.093
LOVO,-3.853871964321762,1.187
LOVO,-3.3979400086720375,0.879
LOVO,-2.9208187539523753,1.032
LOVO,-2.431798275933005,0.965
LOVO,-1.958607314841775,0.636
LOVO,-1.4685210829577449,0.341
LOVO,-1.0,0.151
LOVO,-0.5228787452803376,0.109
MDAMB436,-3.853871964321762,1.091
MDAMB436,-3.3979400086720375,0.998
MDAMB436,-2.9208187539523753,1.067
MDAMB436,-2.431798275933005,0.865
MDAMB436,-1.958607314841775,0.832
MDAMB436,-1.4685210829577449,0.495
MDAMB436,-1.0,0.449
MDAMB436,-0.5228787452803376,0.286
MDAMB436,-3.853871964321762,0.984
MDAMB436,-3.3979400086720375,0.93
MDAMB436,-2.9208187539523753,1.166
MDAMB436,-2.431798275933005,0.784
MDAMB436,-1.958607314841775,0.705
MDAMB436,-1.4685210829577449,0.462
MDAMB436,-1.0,0.495
MDAMB436,-0.5228787452803376,0.305
MDAMB436,-3.853871964321762,0.77
MDAMB436,-3.3979400086720375,1.018
MDAMB436,-2.9208187539523753,0.9
MDAMB436,-2.431798275933005,0.872
MDAMB436,-1.958607314841775,0.699
MDAMB436,-1.4685210829577449,0.535
MDAMB436,-1.0,0.394
MDAMB436,-0.5228787452803376,0.295
MDAMB436,-3.853871964321762,0.892
MDAMB436,-3.3979400086720375,1.024
MDAMB436,-2.9208187539523753,0.764
MDAMB436,-2.431798275933005,0.878
MDAMB436,-1.958607314841775,0.675
MDAMB436,-1.4685210829577449,0.48
MDAMB436,-1.0,0.344
MDAMB436,-0.5228787452803376,0.271
MDAMB436,-3.853871964321762,0.983
MDAMB436,-3.3979400086720375,0.971
MDAMB436,-2.9208187539523753,0.931
MDAMB436,-2.431798275933005,0.797
MDAMB436,-1.958607314841775,0.601
MDAMB436,-1.4685210829577449,0.45
MDAMB436,-1.0,0.348
MDAMB436,-0.5228787452803376,0.282
MDAMB436,-3.853871964321762,1.05
MDAMB436,-3.3979400086720375,0.966
MDAMB436,-2.9208187539523753,0.947
MDAMB436,-2.431798275933005,0.898
MDAMB436,-1.958607314841775,0.556
MDAMB436,-1.4685210829577449,0.513
MDAMB436,-1.0,0.352
MDAMB436,-0.5228787452803376,0.309
MSTO,-3.853871964321762,0.969
MSTO,-3.3979400086720375,0.824
MSTO,-2.9208187539523753,0.928
MSTO,-2.431798275933005,0.765
MSTO,-1.958607314841775,0.925
MSTO,-1.4685210829577449,0.242
MSTO,-1.0,0.213
MSTO,-0.5228787452803376,0.034
MSTO,-3.853871964321762,0.884
MSTO,-3.3979400086720375,0.872
MSTO,-2.9208187539523753,0.902
MSTO,-2.431798275933005,0.837
MSTO,-1.958607314841775,0.912
MSTO,-1.4685210829577449,0.513
MSTO,-1.0,0.396
MSTO,-0.5228787452803376,0.014
MSTO,-3.853871964321762,0.985
MSTO,-3.3979400086720375,0.813
MSTO,-2.9208187539523753,1.258
MSTO,-2.431798275933005,0.581
MSTO,-1.958607314841775,1.131
MSTO,-1.4685210829577449,0.31
MSTO,-1.0,0.283
MSTO,-0.5228787452803376,0.049
MSTO,-3.853871964321762,0.944
MSTO,-3.3979400086720375,1.09
MSTO,-2.9208187539523753,1.018
MSTO,-2.431798275933005,0.913
MSTO,-1.958607314841775,0.669
MSTO,-1.4685210829577449,0.328
MSTO,-1.0,0.217
MSTO,-0.5228787452803376,0.009
MSTO,-3.853871964321762,1.058
MSTO,-3.3979400086720375,1.035
MSTO,-2.9208187539523753,1.064
MSTO,-2.431798275933005,0.777
MSTO,-1.958607314841775,0.702
MSTO,-1.4685210829577449,0.215
MSTO,-1.0,0.134
MSTO,-0.5228787452803376,0.031
MSTO,-3.853871964321762,1.081
MSTO,-3.3979400086720375,1.002
MSTO,-2.9208187539523753,0.9
MSTO,-2.431798275933005,0.916
MSTO,-1.958607314841775,0.522
MSTO,-1.4685210829577449,0.356
MSTO,-1.0,0.021
MSTO,-0.5228787452803376,0.042
MSTO,-3.853871964321762,0.993
MSTO,-3.3979400086720375,1.28
MSTO,-2.9208187539523753,1.105
MSTO,-2.431798275933005,1.191
MSTO,-1.958607314841775,0.379
MSTO,-1.4685210829577449,0.196
MSTO,-1.0,0.194
MSTO,-0.5228787452803376,0.046
MSTO,-3.853871964321762,1.069
MSTO,-3.3979400086720375,1.06
MSTO,-2.9208187539523753,0.996
MSTO,-2.431798275933005,0.942
MSTO,-1.958607314841775,0.423
MSTO,-1.4685210829577449,0.254
MSTO,-1.0,0.081
MSTO,-0.5228787452803376,0.116
MSTO,-3.853871964321762,0.742
MSTO,-3.3979400086720375,1.146
MSTO,-2.9208187539523753,1.139
MSTO,-2.431798275933005,0.856
MSTO,-1.958607314841775,0.336
MSTO,-1.4685210829577449,0.204
MSTO,-1.0,0.151
MSTO,-0.5228787452803376,0.091
NCIH1650,-3.853871964321762,1.05
NCIH1650,-3.3979400086720375,0.982
NCIH1650,-2.9208187539523753,1.043
NCIH1650,-2.431798275933005,1.035
NCIH1650,-1.958607314841775,0.973
NCIH1650,-1.4685210829577449,0.893
NCIH1650,-1.0,0.861
NCIH1650,-0.5228787452803376,0.09
NCIH1650,-3.853871964321762,1.102
NCIH1650,-3.3979400086720375,0.951
NCIH1650,-2.9208187539523753,1.097
NCIH1650,-2.431798275933005,0.963
NCIH1650,-1.958607314841775,1.006
NCIH1650,-1.4685210829577449,0.932
NCIH1650,-1.0,0.782
NCIH1650,-0.5228787452803376,0.083
NCIH1650,-3.853871964321762,0.981
NCIH1650,-3.3979400086720375,0.964
NCIH1650,-2.9208187539523753,0.904
NCIH1650,-2.431798275933005,0.971
NCIH1650,-1.958607314841775,0.997
NCIH1650,-1.4685210829577449,0.798
NCIH1650,-1.0,0.485
NCIH1650,-0.5228787452803376,0.07
NCIH1650,-3.853871964321762,1.031
NCIH1650,-3.3979400086720375,1.0
NCIH1650,-2.9208187539523753,1.012
NCIH1650,-2.431798275933005,1.081
NCIH1650,-1.958607314841775,0.97
NCIH1650,-1.4685210829577449,0.833
NCIH1650,-1.0,0.554
NCIH1650,-0.5228787452803376,0.073
NCIH1650,-3.853871964321762,0.93
NCIH1650,-3.3979400086720375,0.905
NCIH1650,-2.9208187539523753,0.933
NCIH1650,-2.431798275933005,0.983
NCIH1650,-1.958607314841775,0.941
NCIH1650,-1.4685210829577449,0.764
NCIH1650,-1.0,0.228
NCIH1650,-0.5228787452803376,0.07
NCIH1650,-3.853871964321762,0.972
NCIH1650,-3.3979400086720375,0.986
NCIH1650,-2.9208187539523753,0.95
NCIH1650,-2.431798275933005,1.009
NCIH1650,-1.958607314841775,0.872
NCIH1650,-1.4685210829577449,0.792
NCIH1650,-1.0,0.192
NCIH1650,-0.5228787452803376,0.067
NCIH2122,-3.853871964321762,1.033
NCIH2122,-3.3979400086720375,1.0
NCIH2122,-2.9208187539523753,1.05
NCIH2122,-2.431798275933005,0.933
NCIH2122,-1.958607314841775,0.722
NCIH2122,-1.4685210829577449,0.381
NCIH2122,-1.0,0.304
NCIH2122,-0.5228787452803376,0.055
NCIH2122,-3.853871964321762,1.039
NCIH2122,-3.3979400086720375,0.905
NCIH2122,-2.9208187539523753,1.039
NCIH2122,-2.431798275933005,0.862
NCIH2122,-1.958607314841775,0.62
NCIH2122,-1.4685210829577449,0.391
NCIH2122,-1.0,0.245
NCIH2122,-0.5228787452803376,0.055
NCIH2122,-3.853871964321762,1.07
NCIH2122,-3.3979400086720375,1.015
NCIH2122,-2.9208187539523753,1.026
NCIH2122,-2.431798275933005,0.974
NCIH2122,-1.958607314841775,0.641
NCIH2122,-1.4685210829577449,0.376
NCIH2122,-1.0,0.279
NCIH2122,-0.5228787452803376,0.034
NCIH2122,-3.853871964321762,1.042
NCIH2122,-3.3979400086720375,1.002
NCIH2122,-2.9208187539523753,0.94
NCIH2122,-2.431798275933005,0.945
NCIH2122,-1.958607314841775,0.414
NCIH2122,-1.4685210829577449,0.29
NCIH2122,-1.0,0.241
NCIH2122,-0.5228787452803376,0.033
NCIH2122,-3.853871964321762,0.957
NCIH2122,-3.3979400086720375,1.022
NCIH2122,-2.9208187539523753,0.912
NCIH2122,-2.431798275933005,0.937
NCIH2122,-1.958607314841775,0.616
NCIH2122,-1.4685210829577449,0.471
NCIH2122,-1.0,0.177
NCIH2122,-0.5228787452803376,0.138
NCIH2122,-3.853871964321762,1.028
NCIH2122,-3.3979400086720375,1.04
NCIH2122,-2.9208187539523753,1.001
NCIH2122,-2.431798275933005,0.927
NCIH2122,-1.958607314841775,0.667
NCIH2122,-1.4685210829577449,0.325
NCIH2122,-1.0,0.177
NCIH2122,-0.5228787452803376,0.177
NCIH23,-3.853871964321762,0.971
NCIH23,-3.3979400086720375,1.021
NCIH23,-2.9208187539523753,1.011
NCIH23,-2.431798275933005,0.927
NCIH23,-1.958607314841775,0.736
NCIH23,-1.4685210829577449,0.202
NCIH23,-1.0,0.098
NCIH23,-0.5228787452803376,0.023
NCIH23,-3.853871964321762,1.025
NCIH23,-3.3979400086720375,0.953
NCIH23,-2.9208187539523753,1.008
NCIH23,-2.431798275933005,0.994
NCIH23,-1.958607314841775,0.728
NCIH23,-1.4685210829577449,0.234
NCIH23,-1.0,0.153
NCIH23,-0.5228787452803376,0.033
NCIH23,-3.853871964321762,1.048
NCIH23,-3.3979400086720375,1.004
NCIH23,-2.9208187539523753,0.934
NCIH23,-2.431798275933005,0.966
NCIH23,-1.958607314841775,0.82
NCIH23,-1.4685210829577449,0.142
NCIH23,-1.0,0.093
NCIH23,-0.5228787452803376,0.033
NCIH23,-3.853871964321762,1.048
NCIH23,-3.3979400086720375,1.026
NCIH23,-2.9208187539523753,0.968
NCIH23,-2.431798275933005,1.036
NCIH23,-1.958607314841775,0.594
NCIH23,-1.4685210829577449,0.232
NCIH23,-1.0,0.096
NCIH23,-0.5228787452803376,0.024
NCIH23,-3.853871964321762,0.974
NCIH23,-3.3979400086720375,0.998
NCIH23,-2.9208187539523753,0.981
NCIH23,-2.431798275933005,1.06
NCIH23,-1.958607314841775,0.571
NCIH23,-1.4685210829577449,0.214
NCIH23,-1.0,0.069
NCIH23,-0.5228787452803376,0.036
NCIH23,-3.853871964321762,0.99
NCIH23,-3.3979400086720375,0.921
NCIH23,-2.9208187539523753,0.964
NCIH23,-2.431798275933005,0.872
NCIH23,-1.958607314841775,0.373
NCIH23,-1.4685210829577449,0.176
NCIH23,-1.0,0.053
NCIH23,-0.5228787452803376,0.029
NCIH23,-3.853871964321762,0.904
NCIH23,-3.3979400086720375,1.093
NCIH23,-2.9208187539523753,0.874
NCIH23,-2.431798275933005,1.032
NCIH23,-1.958607314841775,0.67
NCIH23,-1.4685210829577449,0.182
NCIH23,-1.0,0.068
NCIH23,-0.5228787452803376,0.029
NCIH23,-3.853871964321762,1.024
NCIH23,-3.3979400086720375,1.16
NCIH23,-2.9208187539523753,0.992
NCIH23,-2.431798275933005,1.135
NCIH23,-1.958607314841775,0.599
NCIH23,-1.4685210829577449,0.226
NCIH23,-1.0,0.054
NCIH23,-0.5228787452803376,0.03
NCIH23,-3.853871964321762,0.972
NCIH23,-3.3979400086720375,0.953
NCIH23,-2.9208187539523753,1.042
NCIH23,-2.431798275933005,0.964
NCIH23,-1.958607314841775,0.646
NCIH23,-1.4685210829577449,0.192
NCIH23,-1.0,0.098
NCIH23,-0.5228787452803376,0.03
NCIH460,-3.853871964321762,0.911
NCIH460,-3.3979400086720375,0.903
NCIH460,-2.9208187539523753,0.869
NCIH460,-2.431798275933005,0.947
NCIH460,-1.958607314841775,0.911
NCIH460,-1.4685210829577449,0.544
NCIH460,-1.0,0.494
NCIH460,-0.5228787452803376,0.136
NCIH460,-3.853871964321762,0.894
NCIH460,-3.3979400086720375,0.958
NCIH460,-2.9208187539523753,0.827
NCIH460,-2.431798275933005,0.878
NCIH460,-1.958607314841775,0.884
NCIH460,-1.4685210829577449,0.563
NCIH460,-1.0,0.455
NCIH460,-0.5228787452803376,0.155
NCIH460,-3.853871964321762,1.019
NCIH460,-3.3979400086720375,1.053
NCIH460,-2.9208187539523753,1.06
NCIH460,-2.431798275933005,0.963
NCIH460,-1.958607314841775,0.833
NCIH460,-1.4685210829577449,0.516
NCIH460,-1.0,0.41
NCIH460,-0.5228787452803376,0.099
NCIH460,-3.853871964321762,0.924
NCIH460,-3.3979400086720375,0.952
NCIH460,-2.9208187539523753,0.846
NCIH460,-2.431798275933005,0.95
NCIH460,-1.958607314841775,0.825
NCIH460,-1.4685210829577449,0.55
NCIH460,-1.0,0.373
NCIH460,-0.5228787452803376,0.065
NCIH460,-3.853871964321762,1.021
NCIH460,-3.3979400086720375,1.02
NCIH460,-2.9208187539523753,1.022
NCIH460,-2.431798275933005,1.001
NCIH460,-1.958607314841775,0.836
NCIH460,-1.4685210829577449,0.528
NCIH460,-1.0,0.328
NCIH460,-0.5228787452803376,0.168
NCIH460,-3.853871964321762,1.008
NCIH460,-3.3979400086720375,1.027
NCIH460,-2.9208187539523753,0.956
NCIH460,-2.431798275933005,0.933
NCIH460,-1.958607314841775,0.821
NCIH460,-1.4685210829577449,0.496
NCIH460,-1.0,0.318
NCIH460,-0.5228787452803376,0.18
NCIH520,-3.853871964321762,0.877
NCIH520,-3.3979400086720375,1.109
NCIH520,-2.9208187539523753,1.118
NCIH520,-2.431798275933005,1.163
NCIH520,-1.958607314841775,0.83
NCIH520,-1.4685210829577449,0.912
NCIH520,-1.0,0.75
NCIH520,-0.5228787452803376,0.234
NCIH520,-3.853871964321762,1.052
NCIH520,-3.3979400086720375,0.766
NCIH520,-2.9208187539523753,1.057
NCIH520,-2.431798275933005,0.896
NCIH520,-1.958607314841775,1.006
NCIH520,-1.4685210829577449,0.937
NCIH520,-1.0,0.6
NCIH520,-0.5228787452803376,0.282
NCIH520,-3.853871964321762,0.97
NCIH520,-3.3979400086720375,0.782
NCIH520,-2.9208187539523753,1.186
NCIH520,-2.431798275933005,0.998
NCIH520,-1.958607314841775,1.185
NCIH520,-1.4685210829577449,0.657
NCIH520,-1.0,0.558
NCIH520,-0.5228787452803376,0.238
NCIH520,-3.853871964321762,1.047
NCIH520,-3.3979400086720375,1.103
NCIH520,-2.9208187539523753,0.973
NCIH520,-2.431798275933005,0.991
NCIH520,-1.958607314841775,0.837
NCIH520,-1.4685210829577449,0.648
NCIH520,-1.0,0.432
NCIH520,-0.5228787452803376,0.198
NCIH520,-3.853871964321762,1.027
NCIH520,-3.3979400086720375,1.025
NCIH520,-2.9208187539523753,0.898
NCIH520,-2.431798275933005,1.211
NCIH520,-1.958607314841775,1.005
NCIH520,-1.4685210829577449,0.884
NCIH520,-1.0,0.381
NCIH520,-0.5228787452803376,0.415
NCIH520,-3.853871964321762,1.012
NCIH520,-3.3979400086720375,0.966
NCIH520,-2.9208187539523753,0.908
NCIH520,-2.431798275933005,0.95
NCIH520,-1.958607314841775,0.944
NCIH520,-1.4685210829577449,0.847
NCIH520,-1.0,0.33
NCIH520,-0.5228787452803376,0.346
OCUBM,-3.853871964321762,1.09
OCUBM,-3.3979400086720375,0.891
OCUBM,-2.9208187539523753,0.997
OCUBM,-2.431798275933005,0.724
OCUBM,-1.958607314841775,0.508
OCUBM,-1.4685210829577449,0.213
OCUBM,-1.0,0.091
OCUBM,-0.5228787452803376,0.008
OCUBM,-3.853871964321762,0.988
OCUBM,-3.3979400086720375,0.93
OCUBM,-2.9208187539523753,1.046
OCUBM,-2.431798275933005,0.746
OCUBM,-1.958607314841775,0.565
OCUBM,-1.4685210829577449,0.358
OCUBM,-1.0,0.117
OCUBM,-0.5228787452803376,0.004
OCUBM,-3.853871964321762,0.904
OCUBM,-3.3979400086720375,1.025
OCUBM,-2.9208187539523753,0.939
OCUBM,-2.431798275933005,0.962
OCUBM,-1.958607314841775,0.562
OCUBM,-1.4685210829577449,0.215
OCUBM,-1.0,0.084
OCUBM,-0.5228787452803376,0.005
OCUBM,-3.853871964321762,0.9
OCUBM,-3.3979400086720375,1.029
OCUBM,-2.9208187539523753,1.114
OCUBM,-2.431798275933005,0.833
OCUBM,-1.958607314841775,0.524
OCUBM,-1.4685210829577449,0.108
OCUBM,-1.0,0.079
OCUBM,-0.5228787452803376,0.003
OCUBM,-3.853871964321762,0.958
OCUBM,-3.3979400086720375,1.023
OCUBM,-2.9208187539523753,1.094
OCUBM,-2.431798275933005,0.848
OCUBM,-1.958607314841775,0.277
OCUBM,-1.4685210829577449,0.159
OCUBM,-1.0,0.013
OCUBM,-0.5228787452803376,0.006
OCUBM,-3.853871964321762,1.096
OCUBM,-3.3979400086720375,1.076
OCUBM,-2.9208187539523753,1.068
OCUBM,-2.431798275933005,0.957
OCUBM,-1.958607314841775,0.227
OCUBM,-1.4685210829577449,0.203
OCUBM,-1.0,0.014
OCUBM,-0.5228787452803376,0.007
OV90,-3.853871964321762,0.893
OV90,-3.3979400086720375,0.865
OV90,-2.9208187539523753,0.89
OV90,-2.431798275933005,1.006
OV90,-1.958607314841775,0.95
OV90,-1.4685210829577449,0.661
OV90,-1.0,0.585
OV90,-0.5228787452803376,0.186
OV90,-3.853871964321762,0.929
OV90,-3.3979400086720375,0.972
OV90,-2.9208187539523753,0.968
OV90,-2.431798275933005,0.993
OV90,-1.958607314841775,0.973
OV90,-1.4685210829577449,0.799
OV90,-1.0,0.658
OV90,-0.5228787452803376,0.197
OV90,-3.853871964321762,0.955
OV90,-3.3979400086720375,1.022
OV90,-2.9208187539523753,0.941
OV90,-2.431798275933005,1.004
OV90,-1.958607314841775,0.92
OV90,-1.4685210829577449,0.751
OV90,-1.0,0.567
OV90,-0.5228787452803376,0.179
OV90,-3.853871964321762,0.955
OV90,-3.3979400086720375,1.08
OV90,-2.9208187539523753,0.961
OV90,-2.431798275933005,1.04
OV90,-1.958607314841775,1.138
OV90,-1.4685210829577449,0.811
OV90,-1.0,0.424
OV90,-0.5228787452803376,0.18
OV90,-3.853871964321762,0.943
OV90,-3.3979400086720375,1.056
OV90,-2.9208187539523753,1.107
OV90,-2.431798275933005,0.892
OV90,-1.958607314841775,0.842
OV90,-1.4685210829577449,0.638
OV90,-1.0,0.423
OV90,-0.5228787452803376,0.216
OV90,-3.853871964321762,1.003
OV90,-3.3979400086720375,1.089
OV90,-2.9208187539523753,0.989
OV90,-2.431798275933005,1.024
OV90,-1.958607314841775,0.854
OV90,-1.4685210829577449,0.729
OV90,-1.0,0.32
OV90,-0.5228787452803376,0.215
OVCAR3,-3.853871964321762,1.023
OVCAR3,-3.3979400086720375,0.976
OVCAR3,-2.9208187539523753,1.109
OVCAR3,-2.431798275933005,1.006
OVCAR3,-1.958607314841775,1.011
OVCAR3,-1.4685210829577449,0.693
OVCAR3,-1.0,0.965
OVCAR3,-0.5228787452803376,0.183
OVCAR3,-3.853871964321762,1.001
OVCAR3,-3.3979400086720375,1.143
OVCAR3,-2.9208187539523753,1.116
OVCAR3,-2.431798275933005,1.046
OVCAR3,-1.958607314841775,0.92
OVCAR3,-1.4685210829577449,0.597
OVCAR3,-1.0,0.835
OVCAR3,-0.5228787452803376,0.204
OVCAR3,-3.853871964321762,1.017
OVCAR3,-3.3979400086720375,1.019
OVCAR3,-2.9208187539523753,0.95
OVCAR3,-2.431798275933005,0.87
OVCAR3,-1.958607314841775,0.868
OVCAR3,-1.4685210829577449,0.725
OVCAR3,-1.0,0.884
OVCAR3,-0.5228787452803376,0.178
OVCAR3,-3.853871964321762,0.918
OVCAR3,-3.3979400086720375,0.974
OVCAR3,-2.9208187539523753,1.058
OVCAR3,-2.431798275933005,0.962
OVCAR3,-1.958607314841775,0.997
OVCAR3,-1.4685210829577449,0.497
OVCAR3,-1.0,0.699
OVCAR3,-0.5228787452803376,0.077
OVCAR3,-3.853871964321762,1.018
OVCAR3,-3.3979400086720375,1.048
OVCAR3,-2.9208187539523753,0.952
OVCAR3,-2.431798275933005,1.172
OVCAR3,-1.958607314841775,0.835
OVCAR3,-1.4685210829577449,0.591
OVCAR3,-1.0,0.802
OVCAR3,-0.5228787452803376,0.254
OVCAR3,-3.853871964321762,1.061
OVCAR3,-3.3979400086720375,1.108
OVCAR3,-2.9208187539523753,1.183
OVCAR3,-2.431798275933005,1.08
OVCAR3,-1.958607314841775,0.842
OVCAR3,-1.4685210829577449,0.66
OVCAR3,-1.0,0.749
OVCAR3,-0.5228787452803376,0.276
PA1,-3.853871964321762,0.986
PA1,-3.3979400086720375,0.867
PA1,-2.9208187539523753,0.93
PA1,-2.431798275933005,0.686
PA1,-1.958607314841775,0.045
PA1,-1.4685210829577449,0.021
PA1,-1.0,0.037
PA1,-0.5228787452803376,0.003
PA1,-3.853871964321762,0.86
PA1,-3.3979400086720375,0.895
PA1,-2.9208187539523753,0.773
PA1,-2.431798275933005,0.616
